ID,Name,Year,PhotoFilename,AdvTeacher,Tags
81726354,Bambi,7,bambi.jpg,Fairy Godmother,bambi@disneyhigh.edu DisneyDemo
72635481,Thumper,7,thumper.jpg,Fairy Godmother,thumper@disneyhigh.edu DisneyDemo
63548172,Roo,7,roo.jpg,Fairy Godmother,roo@disneyhigh.edu DisneyDemo
54817263,Lilo,8,lilo.jpg,King Triton,lilo@disneyhigh.edu DisneyDemo
48172635,Alice,8,alice.jpg,King Triton,alice@disneyhigh.edu DisneyDemo
81726355,Pinocchio,7,pinocchio.jpg,Fairy Godmother,pinocchio@disneyhigh.edu DisneyDemo
72635482,Chip,7,chip.jpg,Fairy Godmother,chip@disneyhigh.edu DisneyDemo
63548173,Russell,8,russell.jpg,King Triton,russell@disneyhigh.edu DisneyDemo
54817264,Nemo,7,nemo.jpg,Fairy Godmother,nemo@disneyhigh.edu DisneyDemo
48172636,Dumbo,7,dumbo.jpg,Fairy Godmother,dumbo@disneyhigh.edu DisneyDemo
81726356,"Pan, Peter",8,panpeter.jpg,King Triton,panpeter@disneyhigh.edu DisneyDemo
72635483,"Darling, Wendy",8,darlingwendy.jpg,King Triton,darlingwendy@disneyhigh.edu DisneyDemo
63548174,"Darling, John",8,darlingjohn.jpg,King Triton,darlingjohn@disneyhigh.edu DisneyDemo
54817265,"Darling, Michael",7,darlingmichael.jpg,Fairy Godmother,darlingmichael@disneyhigh.edu DisneyDemo
48172637,Oliver,7,oliver.jpg,Fairy Godmother,oliver@disneyhigh.edu DisneyDemo
81726357,Mowgli,8,mowgli.jpg,King Triton,mowgli@disneyhigh.edu DisneyDemo
72635484,"Robin, Christopher",8,robinchristopher.jpg,King Triton,robinchristopher@disneyhigh.edu DisneyDemo
63548175,Arthur,8,arthur.jpg,King Triton,arthur@disneyhigh.edu DisneyDemo
54817266,Dash,8,dash.jpg,King Triton,dash@disneyhigh.edu DisneyDemo
48172638,Violet,8,violet.jpg,King Triton,violet@disneyhigh.edu DisneyDemo
81726358,Boo,7,boo.jpg,Fairy Godmother,boo@disneyhigh.edu DisneyDemo
72635485,Squirt,7,squirt.jpg,Fairy Godmother,squirt@disneyhigh.edu DisneyDemo
63548176,Penny,7,penny.jpg,Fairy Godmother,penny@disneyhigh.edu DisneyDemo
54817267,Piglet,7,piglet.jpg,Fairy Godmother,piglet@disneyhigh.edu DisneyDemo
48172639,"Toad, Mr.",12,toadmr..jpg,Cogsworth,toadmr.@disneyhigh.edu DisneyDemo
81726359,Jafar,12,jafar.jpg,Cogsworth,jafar@disneyhigh.edu DisneyDemo
72635486,Rafiki,12,rafiki.jpg,Cogsworth,rafiki@disneyhigh.edu DisneyDemo
63548177,Ursula,12,ursula.jpg,Cogsworth,ursula@disneyhigh.edu DisneyDemo
54817268,Maleficent,12,maleficent.jpg,Cogsworth,maleficent@disneyhigh.edu DisneyDemo
48172640,Scar,12,scar.jpg,Cogsworth,scar@disneyhigh.edu DisneyDemo
81726360,Hades,12,hades.jpg,Cogsworth,hades@disneyhigh.edu DisneyDemo
72635487,"Frollo, Claude",12,frolloclaude.jpg,Cogsworth,frolloclaude@disneyhigh.edu DisneyDemo
63548178,"Hook, Captain",12,hookcaptain.jpg,Cogsworth,hookcaptain@disneyhigh.edu DisneyDemo
54817269,"De Vil, Cruella",12,devilcruella.jpg,Cogsworth,devilcruella@disneyhigh.edu DisneyDemo
48172641,Gaston,11,gaston.jpg,Archimedes,gaston@disneyhigh.edu DisneyDemo
81726361,"Tremaine, Lady",12,tremainelady.jpg,Cogsworth,tremainelady@disneyhigh.edu DisneyDemo
72635488,"Gothel, Mother",12,gothelmother.jpg,Cogsworth,gothelmother@disneyhigh.edu DisneyDemo
63548179,"Queen, Evil",12,queenevil.jpg,Cogsworth,queenevil@disneyhigh.edu DisneyDemo
54817270,"Triton, King",12,tritonking.jpg,Cogsworth,tritonking@disneyhigh.edu DisneyDemo
48172642,Sultan,12,sultan.jpg,Cogsworth,sultan@disneyhigh.edu DisneyDemo
81726362,Maurice,12,maurice.jpg,Cogsworth,maurice@disneyhigh.edu DisneyDemo
