ID,Name,Year,PhotoFilename,AdvTeacher,Tags
54817263,Lilo,8,lilo.jpg,King Triton,lilo@disneyhigh.edu DisneyDemo
48172635,Alice,8,alice.jpg,King Triton,alice@disneyhigh.edu DisneyDemo
63548173,Russell,8,russell.jpg,King Triton,russell@disneyhigh.edu DisneyDemo
81726356,"Pan, Peter",8,panpeter.jpg,King Triton,panpeter@disneyhigh.edu DisneyDemo
72635483,"Darling, Wendy",8,darlingwendy.jpg,King Triton,darlingwendy@disneyhigh.edu DisneyDemo
63548174,"Darling, John",8,darlingjohn.jpg,King Triton,darlingjohn@disneyhigh.edu DisneyDemo
81726357,Mowgli,8,mowgli.jpg,King Triton,mowgli@disneyhigh.edu DisneyDemo
72635484,"Robin, Christopher",8,robinchristopher.jpg,King Triton,robinchristopher@disneyhigh.edu DisneyDemo
63548175,Arthur,8,arthur.jpg,King Triton,arthur@disneyhigh.edu DisneyDemo
54817266,Dash,8,dash.jpg,King Triton,dash@disneyhigh.edu DisneyDemo
48172638,Violet,8,violet.jpg,King Triton,violet@disneyhigh.edu DisneyDemo
12345678,Stitch,8,stitch.jpg,King Triton,stitch@disneyhigh.edu DisneyDemo
